The Ultimate Hitchhikers <br>Guide to the Galaxy;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404613595i/13.jpg;Hitchhikers Guide to the Galaxy;Novel;D.;Adams;1
Foundation;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1606208752i/2460584.jpg;Foundation;Novel;I.;Asimov;1
Foundation and Empire;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1603047187i/55714000.jpg;Foundation;Novel;I.;Asimov;2
Second Foundation;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1603047359i/55714026.jpg;Foundation;Novel;I.;Asimov;3
Ready Player One;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520795586l/39111894._SY475_.jpg;Ready Player One;Novel;E.;Cline;1
Ready Player Two;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632079433l/58980633.jpg;Ready Player One;Novel;E.;Cline;2
A Memory Called Empire;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1526486698i/37794149.jpg;A Memory Called Empire;Novel;A.;Martine;1
A Desolation Called Peace;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654565596i/45154547.jpg;A Memory Called Empire;Novel;A.;Martine;2
Penguin Highway;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553255949i/41825397.jpg;Penguin Highway;Novel;T.;Morimi;1
All You Need is Kill;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1568911292i/6255949.jpg;All You Need is Kill;Novel;H.;Sakurazaka;1
All You Need is Kill;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1513540437i/22545976.jpg;All You Need is Kill;Manga;H.;Sakurazaka;2
Himmerige og Helvede;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1326663716i/13414172.jpg;Himmerige og Helvede;Novel;J. K.;Stefénsson;1
The Fractured Void;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1602418924i/52729070.jpg;Twilight Imperium Bøger;Novel;T.;Pratt;1
The Necropolis Empire;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629910783i/56348192.jpg;Twilight Imperium Bøger;Novel;T.;Pratt;2
Life is Strange vol. 1 Dust;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553572296i/39380461.jpg;Life is Strange;Comic;E.;Vieceli;1
Life is Strange vol. 2  Waves;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566875081i/45837003.jpg;Life is Strange;Comic;E.;Vieceli;2
Life is Strange vol. 3 Strings;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1568157354l/53088084.jpg;Life is Strange;Comic;E.;Vieceli;3
Life is Strange vol. 4 Partners In Time;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1604326483i/55695664.jpg;Life is Strange;Comic;E.;Vieceli;4
Life is Strange vol. 5 Coming Home;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1624856408i/56278306.jpg;Life is Strange;Comic;E.;Vieceli;5
Life is Strange vol. 6 Settling Dust;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628297439i/58716376.jpg;Life is Strange;Comic;E.;Vieceli;6
Mob Psycho 100 vol. 1;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385513076i/18986636.jpg;Mob Psycho 100;Manga;;ONE;1
your name. vol. 1;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1495035001i/33232472.jpg;your name.;Manga;M.;Shinkai;1
your name. vol. 2;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507744319i/35181845.jpg;your name.;Manga;M.;Shinkai;2
your name. vol. 3;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1519763441i/35838135.jpg;your name.;Manga;M.;Shinkai;3
Weathering With You vol. 1;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1585156527i/50361737.jpg;Weathering With You;Manga;M.;Shinkai;1
Weathering With You vol. 2;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1606114734i/53447986.jpg;Weathering With You;Manga;M.;Shinkai;2
Weathering With You vol. 3;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1602876878i/54673796.jpg;Weathering With You;Manga;M.;Shinkai;3
A Silent Voice vol. 1;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432332490i/23128387.jpg;A Silent Voice;Manga;Y.;Oima;1
A Silent Voice vol. 2;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1428027380i/23995507._SX150_.jpg;A Silent Voice;Manga;Y.;Oima;2
A Silent Voice vol. 3;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439688690i/23995508.jpg;A Silent Voice;Manga;Y.;Oima;3
A Silent Voice vol. 4;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439688658i/25241952.jpg;A Silent Voice;Manga;Y.;Oima;4
A Silent Voice vol. 5;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1447876393i/25387768.jpg;A Silent Voice;Manga;Y.;Oima;5
A Silent Voice vol. 6;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1454882075i/26067699.jpg;A Silent Voice;Manga;Y.;Oima;6
A Silent Voice vol. 7;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1460909723i/26192732.jpg;A Silent Voice;Manga;Y.;Oima;7
Love is War vol. 1;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1513212409i/36100762.jpg;Love is War;Manga;A.;Akasaka;1
Love is War vol. 2;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1517562638i/36495869.jpg;Love is War;Manga;A.;Akasaka;2
Komi Can't Communicate  vol. 1;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1559016252i/46029443.jpg;Komi Can't Communicate;Manga;T.;Oda;1
Komi Can't Communicate  vol. 2;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554035239i/42870329.jpg;Komi Can't Communicate;Manga;T.;Oda;2
Komi Can't Communicate  vol. 3;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1561288948i/43909475.jpg;Komi Can't Communicate;Manga;T.;Oda;3
Komi Can't Communicate  vol. 4;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1564946335i/43909466.jpg;Komi Can't Communicate;Manga;T.;Oda;4
Komi Can't Communicate  vol. 5;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1502355014i/35994623.jpg;Komi Can't Communicate;Manga;T.;Oda;5
Fire Force vol. 2;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1486443689i/34155088.jpg;Fire Force;Manga;A.;Ohkubo;2
Fire Force vol. 1;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478597809i/32919114.jpg;Fire Force;Manga;A.;Ohkubo;1
Fire Force vol. 3;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1491279086i/34782978.jpg;Fire Force;Manga;A.;Ohkubo;3
Fire Force vol. 4;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1497004031i/35393446.jpg;Fire Force;Manga;A.;Ohkubo;4
Fire Force vol. 5;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1503375055i/36101984.jpg;Fire Force;Manga;A.;Ohkubo;5
Fire Force vol. 6;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1506347395i/36301897.jpg;Fire Force;Manga;A.;Ohkubo;6
One Punch Man vol. 1;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1435109815i/25783832.jpg;One Punch Man;Manga;;ONE;1
One Punch Man vol. 2;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1364262394i/17694056.jpg;One Punch Man;Manga;;ONE;2
One Punch Man vol. 3;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1365317178i/17694058.jpg;One Punch Man;Manga;;ONE;3
One Punch Man vol. 4;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375313937i/18273751.jpg;One Punch Man;Manga;;ONE;4
One Punch Man vol. 5;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386044101i/19121592.jpg;One Punch Man;Manga;;ONE;5
One Punch Man vol. 6;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1398974988i/22029858.jpg;One Punch Man;Manga;;ONE;6
One Punch Man vol. 7;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1417230660i/23401591.jpg;One Punch Man;Manga;;ONE;7
One Punch Man vol. 8;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427832322i/24971700.jpg;One Punch Man;Manga;;ONE;8
One Punch Man vol. 9;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438262089i/25784105.jpg;One Punch Man;Manga;;ONE;9
One Punch Man vol. 10;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1448649990i/25806183.jpg;One Punch Man;Manga;;ONE;10
One Punch Man vol. 11;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1464706272i/29456195.jpg;One Punch Man;Manga;;ONE;11
One Punch Man vol. 12;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1480435785i/30339859.jpg;One Punch Man;Manga;;ONE;12
One Punch Man vol. 13;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1490892468i/33148640.jpg;One Punch Man;Manga;;ONE;13
One Punch Man vol. 14;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1501528850i/34736658.jpg;One Punch Man;Manga;;ONE;14
One Punch Man vol. 15;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1511334880i/35894836.jpg;One Punch Man;Manga;;ONE;15
One Punch Man vol. 16;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1522646570i/36681442.jpg;One Punch Man;Manga;;ONE;16
One Punch Man vol. 17;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1543007159l/42640836.jpg;One Punch Man;Manga;;ONE;17
One Punch Man vol. 18;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551465436l/44168136._SX318_.jpg;One Punch Man;Manga;;ONE;18
One Punch Man vol. 19;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554160622i/42975308.jpg;One Punch Man;Manga;;ONE;19
One Punch Man vol. 20;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562084396i/44652816.jpg;One Punch Man;Manga;;ONE;20
Neuromancer;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554437249l/6088007._SY475_.jpg;Sprawl;Novel;W.;Gibson;1
Avatar: The Last Airbender: The Promise;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1606691728l/56088604.jpg;Avatar;Comic;G. L.;Yang;1
Avatar: The Last Airbender: The Search;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1596712555i/53347560.jpg;Avatar;Comic;G. L.;Yang;2
Game Over vol. 21;https://m.media-amazon.com/images/I/81SzeK5lVIL._SL1500_.jpg;Game Over;Comic;;Midam;21
